categorie|tag TEI-Med|tag TEI-XML
corr|corr-int|<choice><sic ana="#interv">$</sic><corr>$</corr></choice>
corr|corr-met|<choice><sic ana="#metath">$</sic><corr>$</corr></choice>
corr|corr-mis|<choice><sic ana="#misdiv">$</sic><corr>$</corr></choice>
corr|corr-eye|<choice><sic ana="#eye">$</sic><corr>$</corr></choice>

corr|supl-eo|<supplied reason="evident-omission">$</supplied>
corr|supl-dy|<supplied reason="damage" cert="yes">$</supplied>
corr|supl-dn|<supplied reason="damage" cert="no">$</supplied>

corr|corr2|<choice><sic><w>$</w></sic><corr><w>$</w><w>$</w></corr></choice>
corr|corr21|<choice><sic><w>$</w><w>$</w></sic><corr><w>$</w></corr></choice>

sem|pers|<persName ref="#$"><forename><w>$</w></forename></persName>

sem|rol-pers|<persName ref="#$"><roleName><w>$</w></roleName><forename><w>$</w></forename></persName>
sem|rol-pers+_|<persName ref="#$"><roleName><w ana="#aggl-uncert">$</w></roleName><forename><w>$</w></forename></persName>
sem|rol-pers+=|<persName ref="#$"><roleName><w ana="#aggl">$</w></roleName><forename><w>$</w></forename></persName>
sem|rol-pers+=_|<persName ref="#$"><roleName><w ana="#aggl-uncert">$</w></roleName><forename><w>$</w></forename></persName>

sem|pers-rol|<persName ref="#$"><forename><w>$</w></forename><w>$</w><roleName><w>$</w></roleName></persName>
sem|pers-rol+|<persName ref="#$"><forename><w>$</w></forename><w ana="#aggl-s">$</w><roleName><w>$</w></roleName></persName>

sem|rol-cit|<persName ref="#$"><roleName><w>$</w></roleName><w>$</w><placeName type="city" ref="#$"><name><w>$</w></name></placeName></persName>
sem|rol-cit'|<persName ref="#$"><roleName><w>$</w></roleName><w ana="#elis">$</w><placeName type="city" ref="#$"><name><w>$</w></name></placeName></persName>
sem|rol-cit+|<persName ref="#$"><roleName><w>$</w></roleName><w ana="#aggl-s">$</w><placeName type="city" ref="#$"><name><w>$</w></name></placeName></persName>

sem|rol-reg|<persName ref="#$"><roleName><w>$</w></roleName><w>$</w><placeName type="region" ref="#$"><name><w>$</w></name></placeName></persName>
sem|rol-reg'|<persName ref="#$"><roleName><w>$</w></roleName><w ana="#elis">$</w><placeName type="region" ref="#$"><name>$</name></placeName></persName>
sem|rol-reg+|<persName ref="#$"><roleName><w>$</w></roleName><w ana="#aggl-s">$</w><placeName type="region" ref="#$"><name><w>$</w></name></placeName></persName>

sem|rol-2reg2'|<persName ref="#$"><roleName><w>$</w></roleName><w ana="#elis">$</w><placeName type="region" ref="#$"><name>$</name><name>$</name></placeName></persName>
sem|rol-2reg2+'|<persName ref="#$"><roleName><w>$</w></roleName><w ana="aggl-s">$</w><w ana="#elis">$</w><placeName type="region" ref="#$"><name>$</name><name>$</name></placeName></persName>
sem|rol-2reg2''|<persName ref="#$"><roleName><w>$</w></roleName><w>$</w><w ana="#elis">$</w><placeName type="region" ref="#$"><name>$</name><name>$</name></placeName></persName>

sem|rol-reg2|<persName ref="#$"><w>$</w><placeName type="region" ref="#$"><name><w>$</w></name></placeName></persName>
sem|rol-reg2'|<persName ref="#$"><w ana="#elis">$</w><placeName type="region" ref="#$"><name><w>$</w></name></placeName></persName>
sem|rol-reg2+_|<persName ref="#$"><w ana="#aggl-s-uncert">$</w><placeName type="region" ref="#$"><name><w>$</w></name></placeName></persName>
sem|rol-reg2+|<persName ref="#$"><w ana="#aggl-s">$</w><placeName type="region" ref="#$"><name><w>$</w></name></placeName></persName>

sem|rol-cit2|<persName ref="#$"><w>$</w><placeName type="city" ref="#$"><name><w>$</w></name></placeName></persName>
sem|rol-cit2'|<persName ref="#$"><w ana="#elis">$</w><placeName type="city" ref="#$"><name><w>$</w></name></placeName></persName>
sem|rol-cit2+|<persName ref="#$"><w ana="#aggl-s">$</w><placeName type="city" ref="#$"><name><w>$</w></name></placeName></persName>

sem|rol-pers-cit|<persName ref="#$"><roleName><w>$</w></roleName><forename><w>$</w></forename><w>$</w><placeName type="city" ref="#$"><name>$</name></placeName></persName>
sem|pers-rol-cit|<persName ref="#$"><forename><w>$</w></forename><w ana="#aggl-s">$</w><roleName><w>$</w></roleName><w ana="#elis">$</w><placeName type="region" ref="#$"><name>$</name></placeName></persName>

sem|rol-pers-reg|<persName ref="#$"><roleName><w>$</w></roleName><forename><w>$</w></forename><w>$</w><placeName type="region" ref="#$"><name>$</name></placeName></persName>
sem|pers-rol-reg+'|<persName ref="#$"><forename><w>$</w></forename><w ana="#aggl-s">$</w><roleName><w>$</w></roleName><w ana="#elis">$</w><placeName type="region" ref="#$"><name>$</name></placeName></persName>
sem|pers-rol-reg'|<persName ref="#$"><forename><w>$</w></forename><w>$</w><roleName><w>$</w></roleName><w ana="#elis">$</w><placeName type="region" ref="#$"><name>$</name></placeName></persName>sem|pers-rol-cit|<persName ref="#$"><forename><w>$</w></forename><w ana="#aggl-s">$</w><roleName><w>$</w></roleName><w ana="#elis">$</w><placeName type="region" ref="#$"><name>$</name></placeName></persName>

sem|pers-ep|<persName ref="#$"><forename><w>$</w></forename><addName type="epithet"><w function="link">$</w><w>$</w></addName></persName>
sem|pers-ep'|<persName ref="#$"><forename><w>$</w></forename><addName type="epithet"><w ana="#elis" function="link">$</w><w>$</w></addName></persName>
sem|pers-ep1|<persName ref="#$"><forename><w>$</w></forename><addName type="epithet"><w function="link" ana="#aggl-s-uncert">$</w><w>$</w></addName></persName>

sem|pers-ps1|<persName type="pseudo" ref="#$"><w>$</w></persName>
sem|pers-ps2|<persName type="pseudo" ref="#$"><w>$</w><w>$</w></persName>
sem|pers-ps2+=|<persName type="pseudo" ref="#$"><w ana="#aggl">$</w><w>$</w></persName>

sem|pers-cit|<persName ref="#$"><forename><w>$</w></forename><w>$</w><placeName type="city" ref="#$"><name><w>$</w></name></placeName></persName>
sem|pers-cit+|<persName ref="#$"><forename><w>$</w></forename><w ana="#aggl-s">$</w><placeName type="city" ref="#$"><name><w>$</w></name></placeName></persName>
sem|pers-reg|<persName ref="#$"><forename><w>$</w></forename><w>$</w><placeName type="region" ref="#$"><name><w>$</w></name></placeName></persName>
sem|pers-reg+|<persName ref="#$"><forename><w>$</w></forename><w ana="#aggl-s">$</w><placeName type="region" ref="#$"><name><w>$</w></name></placeName></persName>
sem|pers-reg'|<persName ref="#$"><forename><w>$</w></forename><w ana="#elis">$</w><placeName type="region" ref="#$"><name><w>$</w></name></placeName></persName>

sem|pers2-rol-cit|<persName ref="#$"><forename><w>$</w></forename><w ana="#aggl-s">$</w><roleName><w>$</w></roleName><w ana="#elis">$</w><placeName type="region" ref="#$"><name>$</name><name>$</name></placeName></persName>

sem|pers-div|<persName type="divinity" ref="#$"><name><w>$</w></name></persName>

sem|pl-reg|<placeName type="region" ref="#$"><name><w>$</w></name></placeName>
